,Name of Dam,Year Completed,River,Location,Type,Height (m),Length (m),Volume content (103m3),Gross Storage Capacity (103m3),Reservoir Area (103m2),Effective Storage Capacity (103m3),Purpose,Designed Spillway Cap m3per sec
249,Wakod,,Nagzari,Aurangabad,Earthfill,14.28,2975,577,12050.00,4480,11400.00,Irrigation,1380
250,Mahamadwadi,,Gad river,Konakwadi,Earthfill,59.33,1590,12000,93374.00,4243,91399.00,Irrigation  Hydroelectricity,1678
251,Lower Panzara (Akkalp),,Punad,Kalwan,Earthfill,33.28,706,1114,39750.00,3123,36990.00,Irrigation,1791
252,Waki,,Godavari,Pachora,Earthfill,51.87,869,4582,53730.00,2054,53340.00,Irrigation,1808
253,Dara,,Shiwan,Nandurbar,Earthfill,31.3,4828,2410,24180.00,2070,21700.00,Irrigation  Water Supply,1864
254,Upper Kadwa,,Manyad,Nandgaon,Earthfill,32.92,1470,471.66,14010.00,238,9460.00,Irrigation,2032
255,Gomai,,Gomai,"Nandurbar, Shahada",Earthfill,23.9,5596,1391,28104.00,5920,20352.00,Irrigation,2049
256,Utawali,,Utawali,"Buldhana, Mehkar",Earthfill,26.05,2112,1910,20808.00,3642,,Irrigation,2336
257,Chandrabhaga,,Chandrabhaga,Amravati,Earthfill,44.7,1573,2952,41427.00,3262,41248.00,Irrigation  Hydroelectricity  Water supply,2476
258,Tultuli,,Khobragadi,Gadchiroli,Earthfill,21.59,5280,2745,225051.00,50920,216948.00,Irrigation,3460
259,Purna,,Purna,Amravati,Earthfill,38,3120,1277,41759.00,5880,35370.00,Irrigation  Hydroelectricity  Water supply,3906
260,Anjneri,,Panzara,Sakri,Earthfill,32.3,3137,4326,107790.00,14815,87870.00,Irrigation,4332
261,Nawatha,,Burai,Dhule,Earthfill,29,2610,1427,36930.00,7360,33910.00,Irrigation,4342
262,Human,,Human,Chandrapur,EarthfillGravity,28,3222,2448,313731.00,80930,313731.00,Irrigation,9242
263,Prakasha Barrage,,Tapi,Nandurbar,Earthfill,39.5,1070,179,325000.00,3850,248210.00,Irrigation,16071
264,Lower Wardha,,Wardha,Wardha,EarthfillGravity,27.8,9464,2639,253340.00,54654,216870.00,Irrigation,20788
265,Dhaner,,Tapi,Burhanpur,Gravity,27.7,425,,141000.00,170,141000.00,Irrigation,21083
266,Nanduri,,Tapi,Ama Local Nallaher,EarthfillGravity,20,2186,1381.25,42056.00,575.36,35780.00,Irrigation  Water supply,49299.5
267,Sulwade Barrage,,Tapi,"Nandurbar, Shahada",Earthfill,27.73,688,226,63640.00,11870,62110.00,Irrigation,50517
268,Wadishewadi,,Tapi,"Nandurbar, Shahada",Earthfill,36.5,614.5,324,92190.00,18230,91810.00,Irrigation,50529
269,Dehali,,Tapi,Sind Kheda,Earthfill,28.26,5349,1762,65060.00,1229,65060.00,Irrigation  Water Supply,64227
270,Gose Khurd Dam,2008,Wainganga,Bhandara,Earthfill,22.50,11356,3828,769483.00,22258,376592.00,Irrigation,67300
271,Punad,,Delhi,"Nandurbar, Akkalkuva",Earthfill,29.62,1820,123,19080.00,2202,17290.00,Irrigation,
272,Kalammawadi,,Dudhaganga,"Kalammawadi, Radhanagari",Earthfill,73.08,1280,679.0,679000.0,,679000.0,"Irrigation, Hydroelectric",
